2026-04-01 14:51:08.466 [info] 2026-03-14 17:46:56: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/truckers.py for TextDocument: file:///home/perrymckay1/truckers.py, InsertPosition: Ln:0, Col:0

2026-03-14 18:05:36: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/truckers.py for TextDocument: file:///home/perrymckay1/truckers.py, InsertPosition: Ln:67, Col:11

2026-03-14 18:07:36: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/index.html, InsertPosition: Ln:64, Col:0

2026-03-14 18:27:53: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/truckers.py for TextDocument: file:///home/perrymckay1/main.py, InsertPosition: Ln:0, Col:0

2026-03-14 18:27:53: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/main.py for TextDocument: file:///home/perrymckay1/main.py, InsertPosition: Ln:0, Col:0

2026-03-14 18:27:53: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/main.py for TextDocument: file:///home/perrymckay1/main.py, InsertPosition: Ln:0, Col:0

2026-03-14 18:27:53: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/main.py for TextDocument: file:///home/perrymckay1/main.py, InsertPosition: Ln:0, Col:0

2026-03-14 18:33:34: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/main.py for TextDocument: file:///home/perrymckay1/main.py, InsertPosition: Ln:111, Col:13

2026-03-14 20:17:45: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/trucks.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-14 20:17:45: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/trucks.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-14 20:17:54: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/trucks.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-14 20:52:24: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/index.html, InsertPosition: Ln:0, Col:0

2026-03-14 20:52:24: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/index.html, InsertPosition: Ln:0, Col:0

2026-03-14 20:52:24: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/index.html, InsertPosition: Ln:0, Col:0

2026-03-14 20:52:24: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/index.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/loads.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/inbox.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:09: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/inbox.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/inbox.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/inbox.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/chat.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/chat.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/chat.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/index.html for TextDocument: file:///home/perrymckay1/chat.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/chat.html for TextDocument: file:///home/perrymckay1/chat.html, InsertPosition: Ln:0, Col:0

2026-03-14 21:01:10: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/chat.html for TextDocument: file:///home/perrymckay1/chat.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:49: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/profile.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:49: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/trucks.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:49: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/loads.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:49: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/profile.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:49: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/profile.html for TextDocument: file:///home/perrymckay1/loads.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:50: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/profile.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:50: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/trucks.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

2026-03-15 13:32:50: Accepted generated code with a RAG citation from repo -  and Filepath: /home/perrymckay1/profile.html for TextDocument: file:///home/perrymckay1/trucks.html, InsertPosition: Ln:0, Col:0

