2026-04-01 14:50:22.983 [info] Extension host with pid 12240 started
2026-04-01 14:50:23.010 [info] Lock '/home/perrymckay1/.codeoss/data/User/workspaceStorage/-6a79e224/vscode.lock': Lock acquired.
2026-04-01 14:50:23.683 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2026-04-01 14:50:23.685 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2026-04-01 14:50:23.685 [info] ExtensionService#_doActivateExtension google.geminicodeassist, startup: false, activationEvent: 'onView:cloudcode.gemini.chatView'
2026-04-01 14:50:23.686 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
2026-04-01 14:50:25.169 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2026-04-01 14:50:25.180 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2026-04-01 14:50:32.174 [info] Not activating extension 'ms-python.python': Timed out while searching for 'workspaceContains' pattern **/pylock.*.toml
2026-04-01 14:50:32.174 [info] Not activating extension 'redhat.java': Timed out while searching for 'workspaceContains' pattern */pom.xml,*/build.gradle,*/settings.gradle,*/build.gradle.kts,*/settings.gradle.kts,*/.classpath
2026-04-01 14:50:32.175 [info] Not activating extension 'vscjava.vscode-java-dependency': Timed out while searching for 'workspaceContains' pattern */pom.xml,*/build.gradle,*/settings.gradle,*/build.gradle.kts,*/settings.gradle.kts,*/.classpath
2026-04-01 14:50:32.175 [info] Not activating extension 'vscjava.vscode-java-test': Timed out while searching for 'workspaceContains' pattern */pom.xml,*/build.gradle,*/settings.gradle,*/build.gradle.kts,*/settings.gradle.kts,*/.classpath
2026-04-01 14:50:32.175 [info] Not activating extension 'vscjava.vscode-maven': Timed out while searching for 'workspaceContains' pattern **/pom.xml
2026-04-01 14:50:35.182 [info] ExtensionService#_doActivateExtension EditorConfig.EditorConfig, startup: false, activationEvent: 'onStartupFinished'
2026-04-01 14:50:35.182 [info] ExtensionService#_doActivateExtension google.cloud-shell, startup: false, activationEvent: 'onStartupFinished'
2026-04-01 14:50:35.183 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2026-04-01 14:50:35.183 [info] ExtensionService#_doActivateExtension google.gemini-cli-vscode-ide-companion, startup: false, activationEvent: 'onStartupFinished'
2026-04-01 14:50:35.184 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2026-04-01 14:50:41.682 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2026-04-01 14:50:41.683 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2026-04-01 14:50:42.796 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
2026-04-01 14:50:42.796 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-04-01 14:50:43.858 [info] Eager extensions activated
2026-04-01 14:50:50.050 [info] ExtensionService#_doActivateExtension googlecloudtools.cloudcode, startup: false, activationEvent: 'onStartupFinished'
2026-04-01 14:50:58.515 [info] ExtensionService#_doActivateExtension vscode.terminal-suggest, startup: false, activationEvent: 'onTerminalShellIntegration:*'
2026-04-01 14:51:00.357 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2026-04-01 15:18:56.054 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:18:56.055 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model9)
2026-04-01 15:18:56.658 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:18:56.658 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model10)
2026-04-01 15:18:57.390 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:18:57.390 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model11)
2026-04-01 15:18:58.568 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:18:58.568 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model12)
2026-04-01 15:18:59.320 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:18:59.320 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model13)
2026-04-01 15:19:00.334 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:19:00.334 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model14)
2026-04-01 15:19:01.172 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:19:01.173 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model15)
2026-04-01 15:19:02.216 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:19:02.216 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model16)
2026-04-01 15:19:03.206 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:19:03.207 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model17)
2026-04-01 15:19:27.671 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:19:27.671 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model18)
2026-04-01 15:34:00.627 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:34:00.627 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model17)
2026-04-01 15:34:01.340 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:34:01.340 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model12)
2026-04-01 15:34:02.498 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:34:02.499 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model16)
2026-04-01 15:34:03.197 [warning] ExtHostTextEditorOptions 'setOptions' failed:'
2026-04-01 15:34:03.197 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model15)
